wdidx, widx
190, 4416
191, 3798
191, 5909
191, 80
191, 1754
191, 5253
192, 5846
192, 2404
192, 3555
192, 6609
192, 541
192, 3861
192, 3861
193, 5694
193, 5604
193, 2197
193, 1281
193, 2693
193, 5696
194, 2271
195, 6594
195, 6594
195, 515
195, 978
195, 3368
195, 492
196, 6594
196, 1287
196, 5846
196, 6357
196, 2737
196, 6015
196, 5205
197, 6066
197, 749
197, 3143
197, 5693
197, 3391
197, 5846
197, 4297
197, 4298
197, 2727
197, 4086
197, 5846
197, 4332
198, 754
198, 3351
198, 3406
198, 754
198, 3305
198, 434
199, 3671
199, 655
199, 3673
199, 5108
199, 1201
199, 4872
199, 5225
199, 2221
199, 5225
199, 3671
200, 6720
200, 6443
200, 5536
200, 3542
200, 5536
200, 6690
200, 6720
200, 1221
201, 2660
201, 5609
201, 4618
201, 2660
201, 2581
201, 5818
201, 2470
201, 2577
201, 2472
201, 2472
201, 6473
202, 1101
202, 3823
202, 4808
202, 2213
202, 338
203, 5005
203, 1560
203, 5587
203, 3740
203, 1330
203, 2526
203, 6728
203, 445
203, 5005
203, 5478
203, 5081
204, 6353
204, 3061
204, 2290
204, 2351
204, 2290
204, 3268
204, 492
205, 2904
205, 2536
205, 492
205, 5246
205, 806
205, 1859
205, 5806
205, 139
205, 5136
205, 2904
205, 2160
205, 2904
205, 1917
206, 3178
206, 1273
206, 6006
206, 1664
206, 5332
206, 490
206, 6594
206, 492
207, 1395
207, 5721
207, 5455
207, 4902
207, 3349
207, 560
207, 6504
207, 5944
208, 2107
208, 6092
208, 3371
208, 6654
208, 6730
208, 4433
209, 3351
209, 3351
209, 3294
209, 4966
209, 6116
209, 4966
209, 3930
209, 3351
210, 5225
210, 1560
210, 5422
210, 4578
210, 5464
210, 660
211, 5715
211, 18
211, 2233
211, 5090
211, 5715
211, 5715
211, 3449
211, 5960
211, 2034
211, 4189
211, 4905
211, 4905
212, 1266
212, 6447
212, 2989
212, 4905
212, 6728
212, 1991
212, 6728
212, 2020
213, 5464
213, 1560
213, 1540
213, 4701
213, 4700
213, 1540
213, 5158
213, 5474
214, 3169
214, 5270
214, 3861
214, 5270
214, 3170
214, 1541
214, 5325
215, 4267
215, 3580
215, 6513
215, 1811
215, 4905
215, 4928
215, 5715
216, 3351
216, 465
216, 466
217, 5508
217, 2279
217, 5508
217, 2282
217, 4099
217, 4158
217, 296
217, 2282
217, 5508
217, 3383
218, 240
218, 5741
218, 3458
218, 5741
218, 527
218, 4881
218, 3317
218, 241
218, 6232
218, 6690
219, 4978
219, 5505
219, 5816
219, 3351
219, 3038
219, 4717
219, 4851
219, 4978
219, 3497
220, 2472
220, 549
220, 6683
220, 1284
220, 6166
220, 4098
220, 2652
221, 6720
221, 3851
221, 677
221, 3851
221, 478
221, 1280
221, 1718
221, 1739
221, 6413
221, 4997
222, 2991
222, 3133
222, 2404
222, 1003
222, 6594
222, 2040
222, 753
222, 4519
222, 6591
222, 714
222, 714
222, 3861
222, 714
223, 1188
223, 1409
223, 4570
223, 3781
223, 5157
223, 3579
223, 3780
223, 6592
223, 1302
223, 5715
224, 2361
224, 6680
224, 79
224, 6730
224, 4991
224, 5555
224, 5806
224, 5170
225, 3316
225, 3473
225, 3170
225, 1674
225, 4905
225, 3171
225, 6357
225, 3170
225, 3084
225, 3268
225, 3473
225, 2623
225, 5930
226, 4451
226, 5225
226, 6226
226, 3923
226, 1159
226, 6211
226, 5950
226, 6226
226, 2005
227, 5468
227, 5603
227, 1897
227, 5881
227, 3934
227, 367
227, 1242
228, 1236
228, 5948
228, 5476
228, 51
228, 1236
228, 2233
228, 3310
229, 4098
229, 2013
229, 5225
229, 3288
229, 5715
229, 2235
229, 5142
230, 4400
230, 6609
230, 5605
230, 5372
230, 2286
230, 5747
230, 5747
230, 1101
230, 5747
230, 3877
231, 4563
231, 6142
231, 5546
231, 6141
232, 6737
232, 4616
232, 6049
232, 3948
232, 3488
233, 2013
233, 5068
233, 5853
233, 3274
233, 5172
233, 3396
233, 2237
233, 4282
233, 6113
233, 3578
234, 2361
234, 5687
234, 3643
234, 2233
234, 831
234, 3385
234, 2631
235, 6536
235, 5853
235, 958
235, 6730
235, 2946
235, 5584
236, 5152
236, 3409
236, 6215
236, 6166
236, 3325
236, 825
236, 1560
236, 5464
237, 3861
237, 5850
237, 3080
238, 5531
238, 3351
238, 1208
238, 3351
238, 5388
239, 3815
239, 3579
239, 3536
239, 6594
239, 3815
239, 4887
239, 2796
239, 2436
239, 432
240, 6594
240, 1737
240, 15
240, 5833
240, 1586
240, 2420
240, 4367
240, 4520
240, 5110
240, 3440
240, 4395
240, 2236
241, 4400
241, 5492
241, 6193
241, 527
241, 5688
241, 4868
242, 5866
242, 3445
242, 6594
242, 812
242, 5805
242, 3797
242, 3995
242, 3400
242, 2805
242, 5448
242, 868
242, 2233
242, 3307
243, 2279
243, 4591
243, 5188
243, 3157
243, 1019
243, 1124
243, 4740
243, 6153
243, 3084
243, 4382
243, 5464
243, 3382
244, 5555
244, 2923
244, 996
244, 4448
244, 5693
244, 3881
244, 5693
244, 3877
244, 3876
245, 3368
245, 5538
245, 5492
245, 3960
245, 4132
245, 490
245, 5538
245, 2102
245, 1445
245, 492
246, 1426
246, 5225
246, 5225
246, 1491
246, 5225
246, 3814
247, 4225
247, 1897
247, 4801
247, 1812
247, 3101
248, 1169
248, 3003
248, 3934
249, 102
249, 3287
249, 4620
249, 3396
249, 3671
250, 2284
250, 6032
250, 419
250, 492
250, 4624
250, 419
250, 2027
251, 5580
251, 5580
251, 1674
251, 2218
251, 6569
251, 6594
251, 3851
251, 3851
251, 3967
251, 1167
251, 5580
251, 3851
252, 4858
252, 317
252, 156
252, 4855
253, 3740
253, 2932
253, 6261
253, 3145
253, 132
253, 2418
253, 5844
254, 6728
254, 3287
254, 5114
254, 4998
254, 5464
254, 3934
255, 1370
255, 2695
255, 5455
255, 638
255, 5388
255, 2533
255, 367
255, 1013
256, 73
256, 3602
256, 1490
256, 5114
256, 5114
257, 6113
257, 6209
257, 1953
257, 333
257, 527
257, 5859
257, 1837
258, 5142
258, 2324
258, 4737
258, 5142
258, 5989
258, 5142
259, 351
259, 4395
259, 3145
259, 351
259, 3648
259, 3575
259, 2465
259, 102
259, 4104
259, 351
259, 4297
260, 1930
260, 4668
260, 4590
260, 2247
260, 4869
260, 1668
260, 4869
260, 1668
261, 3679
261, 4204
261, 6536
261, 4503
261, 2581
261, 18
261, 5212
261, 3679
262, 6648
262, 1183
262, 4030
262, 731
262, 5693
262, 4097
262, 1510
262, 3861
262, 731
262, 3487
262, 4966
262, 3366
262, 2035
262, 731
262, 6594
262, 6066
262, 731
262, 731
263, 1609
263, 3780
263, 5354
263, 5047
263, 4522
263, 4277
263, 5350
263, 5457
264, 492
264, 6024
264, 4736
264, 5788
264, 5195
264, 1664
264, 5546
264, 5109
265, 3861
265, 5490
265, 4416
265, 4115
265, 5490
265, 3366
265, 4416
265, 3876
265, 4416
265, 1566
265, 5490
265, 6685
266, 4212
266, 2488
266, 3170
267, 6476
267, 1752
267, 1462
267, 2744
267, 1120
267, 1120
267, 6395
268, 5592
268, 575
268, 4298
268, 1716
268, 612
268, 4030
268, 4297
268, 3145
269, 5343
269, 775
269, 5551
269, 2959
269, 2652
270, 1716
270, 3331
270, 1677
270, 2941
270, 1677
270, 5055
270, 6078
270, 2134
270, 3876
270, 5342
270, 5898
270, 6195
270, 3876
270, 2581
271, 966
271, 330
271, 4352
271, 2644
271, 6738
271, 2644
271, 1654
272, 893
272, 1305
272, 899
272, 5088
272, 6594
272, 3366
272, 3489
272, 1515
273, 6543
273, 1096
273, 1292
273, 948
273, 4798
273, 3406
273, 1130
274, 3145
274, 5506
274, 3637
274, 6606
274, 169
274, 5715
274, 4251
274, 2327
274, 4873
274, 5961
275, 1501
275, 3400
275, 2750
275, 1501
275, 6415
275, 721
275, 636
275, 5172
275, 1986
276, 4139
276, 1359
276, 1027
276, 1205
276, 6603
