Peak_X,Peak_Y,Peak_Z,Topic_Assignment,Subregion_Assignment
-27,-87,-15,10,2
-27,-73,-15,44,2
-27,-73,-12,16,1
-27,-73,-12,10,2
-33,-85,-17,16,1
-40,-76,-17,10,2
-40,-76,-12,10,2
-40,-76,-12,10,2
-39,-76,-12,10,2
-39,-77,-12,10,2
-39,-77,-12,10,2
-39,-77,-12,10,2
42,-74,-13,44,2
42,-74,-13,98,1
-33,-85,-2,16,1
-37,-85,-2,16,1
-37,-81,-2,10,2
-37,-81,8,44,2
-37,-81,8,44,2
-23,-81,8,44,2
-23,-89,8,44,2
-23,-89,8,44,2
-23,-89,8,43,1
-30,-87,9,44,2
-30,-87,9,44,2
-36,-87,9,43,1
-36,-82,9,3,1
-36,-82,4,44,2
-36,-82,4,10,2
23,-93,0,44,2
25,-93,0,44,2
25,-90,0,44,2
25,-90,8,98,1
25,-90,8,44,2
23,-90,8,98,1
23,-91,8,98,1
23,-91,8,44,2
23,-91,8,44,2
34,-85,0,98,1
35,-85,0,44,2
35,-83,0,44,2
35,-83,0,98,1
35,-83,0,44,2
35,-83,0,98,1
35,-83,0,44,2
35,-83,2,98,1
35,-83,2,98,1
27,-81,19,16,2
27,-81,19,98,1
29,-81,19,98,1
29,-81,19,16,2
29,-81,28,16,2
29,-81,28,16,2
-2,-77,0,44,2
-2,-77,0,44,2
-17,-93,-7,44,2
-19,-93,-7,44,2
-19,-93,-7,44,2
-19,-93,0,44,2
-19,-93,0,44,2
-13,-93,0,44,2
-13,-92,0,44,2
-13,-92,-4,44,2
-13,-92,-4,44,2
16,-96,3,98,1
16,-96,3,44,2
11,-96,3,44,2
11,-98,3,44,2
11,-98,-6,44,2
11,-98,-6,44,2
-49,29,6,15,2
-48,29,6,15,2
-48,26,6,15,1
-48,26,6,15,2
-48,26,6,15,2
-27,-67,54,44,1
-20,-67,54,16,2
-20,-65,54,44,1
-20,-65,46,44,1
-20,-65,46,44,1
-34,-65,46,44,1
-34,-51,46,44,1
-34,-51,54,44,1
-34,-51,54,16,2
27,-63,47,16,2
27,-63,47,16,2
29,-63,47,62,1
29,-61,47,16,2
29,-61,53,69,2
29,-61,53,16,2
-5,5,54,69,1
-4,5,54,69,1
-4,3,54,69,1
-4,3,49,77,2
-4,3,49,69,1
-4,14,47,69,1
-4,14,47,69,1
-2,4,47,22,2
53,4,4,22,1
-14,-4,-19,25,1
24,4,9,22,1
-4,-4,66,9,2
41,-4,27,32,2
4,-4,39,12,1
-23,-4,41,79,1
-8,-4,65,22,2
-43,-4,-7,25,1
-18,-4,9,9,1
3,-4,40,22,2
-27,-4,59,22,2
-17,-4,-11,25,1
47,-4,40,86,1
-12,-4,61,22,2
-19,-4,22,40,1
48,-4,-10,25,1
20,-4,65,22,2
-3,15,33,20,1
6,30,42,97,1
-6,-9,-6,25,1
9,-21,-12,25,1
-33,27,-12,25,1
51,24,-9,25,1
15,-66,36,16,2
-39,3,54,77,2
48,12,39,80,1
6,6,54,20,1
-24,3,-24,25,1
27,-3,-24,25,1
-43,39,31,59,2
21,39,31,49,2
21,42,31,49,2
